2	6600
3	1700
4	1700
5	1700
6	1900
7	2200
8	4600
9	2500
10	2500
11	5600
12	4600
13	4900
14	5600
15	6000
16	5600
17	22100
18	4600
19	7500
20	6800
21	4500
22	4400
23	5800
24	5000
25	4900
26	5100
27	7500
28	8900
29	5700
30	6000
31	5400
32	23800
33	6300
34	6300
35	9900
36	7200
37	6800
38	7700
39	31000
40	7100
41	7000
42	7800
43	9300
44	6900
45	8300
46	7600
47	7100
48	15000
49	12600
50	21400
51	16400
52	15000
53	19500
54	33800
55	10300
56	9500
57	10000
58	12200
59	12500
60	9200
61	11400
62	10300
63	8800
64	10100
65	19600
66	2400
67	1800
68	2000
69	1800
70	1800
71	4300
72	2400
73	1900
74	4600
75	2100
76	4400
77	2000
78	4300
79	2000
80	4400
81	2300
82	4400
83	2100
84	4500
85	2700
86	4400
87	2900
88	4500
89	2100
90	2100
91	2200
92	2200
93	4700
94	3200
95	5600
96	8900
97	4600
98	4500
99	6900
100	5800
101	4400
102	4700
103	7000
104	4800
105	4800
106	6300
107	7200
108	5100
109	6500
110	5600
111	8400
112	8200
113	4500
114	5500
115	6400
116	8300
117	8500
118	5700
119	4600
120	9700
121	8400
122	5700
123	8700
124	9600
125	5700
126	5600
127	8400
128	5800
129	5700
130	8400
131	5500
132	9100
133	8400
134	5900
135	9900
136	6100
137	16400
138	6000
139	19100
140	6000
141	8500
142	6300
143	8700
144	4900
145	8700
146	6000
147	10000
148	6400
149	8500
150	8700
151	6000
152	9100
153	7000
154	9000
155	9300
156	6400
157	9300
158	9500
159	7100
160	7800
161	9100
162	5900
163	5900
164	6700
165	9500
166	7500
167	9700
168	9300
169	6500
170	9800
171	9100
172	10600
173	9600
174	9600
175	6500
176	8900
177	9900
178	7900
179	10300
180	7300
181	10600
182	10800
183	9500
184	12000
185	10900
186	10500
187	11300
188	9300
189	11300
190	7400
191	10800
192	11400
193	8100
194	10900
195	12400
196	7900
197	10200
198	10000
199	9800
200	9000
201	10200
202	10700
203	11100
204	10600
205	9500
206	8000
207	11500
208	11000
209	11100
210	14200
211	12800
212	13100
213	12900
214	11100
215	9500
216	8300
217	8500
218	8500
219	9300
220	8300
221	8400
222	8600
223	10100
224	12100
225	11100
226	11500
227	8700
228	10900
229	13100
230	11200
231	14300
232	12000
233	9100
234	12700
235	12800
236	8300
237	13000
238	12000
239	8200
240	11900
241	14000
242	15000
243	9600
244	13900
245	13400
246	15400
247	12700
248	13400
249	13400
250	17900
251	13600
252	13600
253	13700
254	15000
255	12800
256	14000
257	14000
258	15200
259	13700
260	13400
261	14100
262	18000
263	13700
264	14400
265	14000
266	15100
267	13800
268	14500
269	17000
270	16200
271	16800
272	20500
273	16400
274	14700
275	13600
276	14400
277	15700
278	14600
279	14100
280	14600
281	15300
282	14100
283	13900
284	16500
285	14200
286	14600
287	14800
288	16500
289	14400
290	20200
291	14400
292	16500
293	16900
294	15000
295	15500
296	14700
297	15100
298	21500
299	15100
300	16300
301	15500
302	18800
303	16600
304	16100
305	17700
306	17700
307	14200
308	15500
309	16800
310	16100
311	17000
312	23100
313	17500
314	17900
315	19700
316	17000
317	16400
318	19300
319	17400
320	19500
321	19300
322	22200
323	15800
324	16300
325	19100
326	17100
327	17500
328	29000
329	25600
330	16700
331	60900
332	18400
333	16000
334	16900
335	18600
336	18300
337	19500
338	17900
339	15500
340	19700
341	15000
342	20300
343	23800
344	17000
345	16400
346	17500
347	17100
348	20700
349	19300
350	25900
351	20800
352	22200
353	16800
354	22200
355	17100
356	15700
357	26100
358	17100
359	14700
360	17300
361	18900
362	13200
363	14400
364	15400
365	14500
366	16000
367	18800
368	18200
369	19500
370	16300
371	18300
372	19800
373	19100
374	16500
375	20100
376	18900
377	17600
378	19300
379	18500
380	19100
381	19100
382	18800
383	17600
384	19200
385	19800
386	18800
387	43300
388	20500
389	21800
390	19000
391	21000
392	16100
393	16800
394	18100
395	22800
396	17800
397	25300
398	18500
399	19600
